Senaryo;SpinNo;Bahis;BakiyeOnce;BakiyeSonra;Odenen;Cluster;Tumble;CarpanDeger;CarpanKaynak;Bonus;BonusOdenen;ArdKayipOnce;Kacis;Kategori;SpinTipi;SureMs;ClusterDetay
"0. Normal Oyun";547;100;100990;101090;200;4;4;0;-;False;0;0;False;BigWin;Normal;0;"S3x8=50TL | S5x8=80TL | S1x8=30TL | S1x9=40TL"
"0. Normal Oyun";548;100;101090;101090;100;1;1;0;-;False;0;0;False;Normal;Normal;0;"S6x8=100TL"
"0. Normal Oyun";549;100;101090;101120;130;2;2;0;-;False;0;0;False;Normal;Normal;0;"S3x17=70TL | S3x10=60TL"
"0. Normal Oyun";550;100;101120;101040;20;1;1;0;-;False;0;0;False;Normal;Normal;0;"S0x8=20TL"
"0. Normal Oyun";551;100;101040;100940;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";552;100;100940;100870;30;1;1;0;-;False;0;0;False;Normal;Normal;0;"S1x8=30TL"
"0. Normal Oyun";553;100;100870;100770;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";554;100;100770;100670;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";555;100;100670;100570;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";556;100;100570;100580;110;1;1;0;-;False;0;0;False;Normal;Normal;0;"S5x17=110TL"
"0. Normal Oyun";557;100;100580;100540;60;1;1;0;-;False;0;0;False;Normal;Normal;0;"S4x9=60TL"
"0. Normal Oyun";558;100;100540;100440;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";559;100;100440;100340;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";560;100;100340;100240;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";561;100;100240;100140;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
